Disease,Symptoms,Diagnosis & Tests,Symptom Severity,Duration of Treatment,Medical History,Current Medications,Risk Factors,Environmental Factors,Physical Activity Levels,Dietary Habits,Age Group,Occupation and Lifestyle,Herbal/Alternative Remedies,Ayurvedic Herbs,Formulation,Herbal Tea(Recommended),Doshas,Prakriti,Diet and Lifestyle Recommendations,Yoga & Physical Therapy,Medical Intervention,Prevention,Complications,Recovery & Maintenance Tips,Cluster_HC,Cluster_GMM
Vaginal & Vulvar Cancers,"Itching, pain, abnormal bleeding, sores or lumps in the vaginal/vulvar area, painful urination","Pelvic exam, biopsy, colposcopy, HPV test",Mild to severe (depends on stage),"Months to years, depending on the stage","HPV infection, weakened immune system, history of precancerous lesions","Chemotherapy, radiation, topical treatments, Ayurvedic immune boosters","HPV infection, smoking, multiple sexual partners, chronic skin conditions","Exposure to irritants, chemicals, poor hygiene",Low,"Low in antioxidants, high in processed foods",50+ years,"Sedentary lifestyle, long-term exposure to irritants","Neem, Turmeric, Guduchi, Aloe Vera","Manjistha, Ashwagandha, Tulsi, Shatavari",Manjistha decoction (1 cup daily for detox),"Turmeric-Tulsi tea (1 tsp turmeric, fresh Tulsi leaves, warm water)","Pitta, Kapha",Pitta-Kapha,"Antioxidant-rich diet, immune-boosting foods","Gentle stretching, meditation, pranayama","Surgery, chemotherapy, radiation","HPV vaccination, regular screenings","Spread to other organs, pain management issues","Early detection, self-care, stress reduction",4,0
Depression & Anxiety,"Persistent sadness, loss of interest, fatigue, insomnia, excessive worry, panic attacks","Psychological evaluation, depression and anxiety scales, hormone level testing",Mild to severe ,"Months to years, depending on management",Personal or family history of mental health disorders,"Antidepressants, anti-anxiety medications, Ayurvedic adaptogens","Stress, hormonal imbalances, trauma, genetic predisposition","High-pressure lifestyle, exposure to toxins, lack of social support",Low,"High caffeine, processed foods, low omega-3 intake",15-50 years,"High-stress jobs, sedentary lifestyle","Ashwagandha, Brahmi, Jatamansi, Chamomile","Brahmi, Ashwagandha, Shankhpushpi, Tagara",Brahmi tea (1 tsp Brahmi leaves in warm water),"Chamomile-Ashwagandha tea (1 tsp chamomile, ½ tsp Ashwagandha powder, warm water)","Vata, Pitta",Vata-Pitta,"Omega-3 rich diet, mindfulness practices","Meditation, deep breathing, gentle yoga","Cognitive Behavioral Therapy (CBT), medications if severe","Stress management, social support, balanced lifestyle","Chronic stress disorders, physical health impact","Healthy diet, exercise, therapy if needed",2,3
Eating Disorders,"Extreme dieting, binge eating, purging, body image issues, mood swings","Psychological assessment, nutritional evaluation, blood tests",Mild to severe ,Long-term management,"Personal or family history of eating disorders, depression, anxiety","Antidepressants, nutritional supplements, Ayurvedic digestive herbs","Societal pressure, past trauma, perfectionism","High-pressure lifestyle, social media influence",High (excessive exercise) or Low (lack of energy),"Extreme restrictions, binge eating",12-35 years,"High-stress environments, media-influenced careers","Brahmi, Ashwagandha, Triphala, Shatavari","Triphala, Brahmi, Shatavari, Jatamansi",Triphala powder with honey (1 tsp daily),"Shatavari tea (1 tsp Shatavari powder, warm water)","Vata, Pitta",Vata-Pitta,"Balanced meals, mindful eating","Gentle yoga, relaxation techniques","Therapy, nutritional counseling","Awareness, positive body image reinforcement","Malnutrition, organ damage","Healthy eating patterns, mental health support",2,3
Migraines & Chronic Headaches,"Severe headache, nausea, sensitivity to light and sound, visual disturbances","Neurological exams, MRI, headache diary analysis",Mild to severe ,Long-term management,"Family history of migraines, stress disorders","Pain relievers, triptans, Ayurvedic neuroprotective herbs","Stress, hormonal changes, lack of sleep, dietary triggers","Exposure to bright lights, strong odors, weather changes",Moderate to low,"Caffeine, processed foods, skipped meals",15-50 years,"High-stress jobs, exposure to screens","Brahmi, Ashwagandha, Peppermint, Ginger","Brahmi, Shankhpushpi, Jatamansi",Brahmi tea (1 tsp Brahmi leaves in warm water),"Ginger-Peppermint tea (1 tsp grated ginger, peppermint leaves, warm water)","Pitta, Vata",Pitta-Vata,"Hydration, regular meals, stress reduction","Shavasana, pranayama",Preventive medications if severe,"Stress control, dietary changes","Chronic pain, vision problems","Regular hydration, relaxation techniques",3,2
Alzheimers & Cognitive Decline,"Memory loss, confusion, difficulty in thinking, mood changes, trouble with speech","MRI, CT scan, cognitive function tests, PET scan",Mild to severe (progressive condition),Long-term management,"Family history of dementia, previous head injuries, metabolic disorders","Cholinesterase inhibitors, memory-enhancing drugs, Ayurvedic neuroprotective herbs","Aging, genetic predisposition, cardiovascular diseases","Exposure to toxins, sedentary lifestyle",Low,"High in processed foods, low in omega-3 and antioxidants",50+ years,"Sedentary, mentally stressful jobs","Brahmi, Ashwagandha, Turmeric, Ginkgo Biloba","Brahmi, Shankhpushpi, Vacha, Gotu Kola",Brahmi Ghrita (1 tsp daily),"Brahmi-Tulsi tea (1 tsp Brahmi leaves, fresh Tulsi leaves, warm water)","Pitta, Vata",Pitta-Vata,"Omega-3 rich foods, mental exercises, social engagement","Meditation, pranayama, Bhramari pranayama","Medications for cognitive support, occupational therapy","Healthy diet, regular brain exercises, social interactions","Severe memory loss, dependency, loss of bodily functions","Brain stimulation activities, stress reduction",4,2
Irritable Bowel Syndrome,"Abdominal pain, bloating, diarrhea or constipation, gas, mucus in stool","Stool tests, colonoscopy, lactose intolerance test",Mild to severe,Long-term management,"Digestive disorders, stress-related conditions","Antispasmodics, probiotics, Ayurvedic digestive herbs","Stress, poor diet, gut microbiome imbalance","Exposure to processed foods, food sensitivities",Moderate to low,"High in processed foods, low in fiber",20-50 years,"High-stress jobs, irregular eating habits","Triphala, Fennel, Ajwain, Licorice","Triphala, Haritaki, Pippali, Aloe Vera",Triphala churna (1 tsp before bed with warm water),"Fennel-Ginger tea (1 tsp fennel seeds, 1 tsp grated ginger, warm water)","Vata, Pitta",Vata-Pitta,"High-fiber diet, regular eating schedule","Vajrasana, Pawanmuktasana","Medications for symptom relief, dietary counseling","Stress control, avoiding trigger foods","Chronic bloating, malnutrition","Mindful eating, gut-friendly foods",1,1
Gastroesophageal Reflux Disease,"Heartburn, regurgitation, chest pain, chronic cough, difficulty swallowing","Endoscopy, pH monitoring, esophageal manometry",Mild to severe,Long-term management,"Acid reflux, hiatal hernia, obesity","Antacids, proton pump inhibitors (PPIs), Ayurvedic digestive herbs","Obesity, smoking, alcohol consumption","Exposure to spicy, fatty foods, stress",Low to moderate,"Spicy, fried, acidic foods",20-60 years,"Sedentary jobs, irregular eating habits","Licorice, Aloe Vera, Fennel, Cardamom","Yashtimadhu (Licorice), Amalaki, Shatavari, Guduchi",Yashtimadhu powder (½ tsp with warm milk),"Licorice-Fennel tea (1 tsp licorice powder, 1 tsp fennel seeds, warm water)",Pitta,Pitta-Vata,"Small frequent meals, avoid lying down after eating","Vajrasana, deep breathing","Medications for acid control, lifestyle changes","Avoiding trigger foods, stress management","Esophageal ulcers, Barretts esophagus","Slow eating, upright posture after meals",3,4
Gallbladder Diseases,"Abdominal pain, nausea, bloating, jaundice, fever (if infected)","Ultrasound, liver function tests, CT scan",Mild to severe,Weeks to months (if managed without surgery),"Gallstones, liver disorders, obesity","Pain relievers, bile acid supplements, Ayurvedic liver tonics","High-fat diet, obesity, diabetes","Poor diet, sedentary lifestyle",Low,"High in fats, low in fiber",30-60 years,"Sedentary work, unhealthy eating habits","Kutki, Bhumyamalaki, Turmeric, Dandelion","Punarnava, Kutki, Kalmegh, Triphala",Punarnava churna (½ tsp with warm water),"Dandelion-Turmeric tea (1 tsp dandelion root, ½ tsp turmeric, warm water)","Pitta, Kapha",Pitta-Kapha,"Low-fat diet, detoxifying foods","Twisting yoga poses, Surya Namaskar",Surgery if needed (cholecystectomy),"Healthy diet, weight management","Infections, pancreatitis",Regular follow-ups,5,0
Liver Disorders," Fatigue, jaundice, nausea, loss of appetite, bloating, dark urine, abdominal pain","Liver function tests (LFT), ultrasound, CT scan, MRI, liver biopsy",Mild to severe,Months to lifelong (depending on the condition),"Hepatitis, fatty liver disease, cirrhosis, alcohol-related liver disease","Liver tonics, anti-inflammatory drugs, Ayurvedic hepatoprotective herbs","Alcohol consumption, viral infections, obesity, diabetes","Exposure to toxins, high intake of processed foods",Low,"High-fat, high-sugar diet, processed food intake",20-70 years,"Sedentary jobs, exposure to toxins","Bhumyamalaki, Kalmegh, Punarnava, Turmeric","Kutki, Triphala, Guduchi, Bhringraj",Bhumyamalaki powder (½ tsp with warm water),"Dandelion-Mint tea (1 tsp dandelion root, fresh mint leaves, warm water)","Pitta, Kapha",Pitta-Kapha,"Low-fat, high-antioxidant diet, liver detox foods","Twisting yoga poses, Kapalbhati","Medications for liver support, detoxification therapies","Avoiding alcohol, healthy diet, regular detox","Cirrhosis, liver failure","Hydration, avoiding alcohol, liver-friendly foods",5,0
Acne,"Pimples, blackheads, whiteheads, cysts, redness, inflammation","Clinical examination, hormone tests (if needed)",Mild to severe,Weeks to months,"Hormonal imbalances, polycystic ovarian syndrome (PCOS), oily skin","Antibiotics, retinoids, Ayurvedic skin purifying herbs","Hormonal imbalance, poor diet, stress","Pollution, use of heavy cosmetics",Moderate,"High sugar, dairy, and fried foods",12-35 years,"High-stress environments, irregular sleep patterns","Neem, Manjistha, Aloe Vera, Turmeric","Neem, Triphala, Guduchi, Sariva",Neem face pack (Neem powder + rose water),"Turmeric-Green tea (½ tsp turmeric, green tea leaves, warm water)","Pitta, Kapha",Pitta-Kapha,"Detox diet, hydrating foods","Sheetali Pranayama, facial yoga","Topical treatments, medications for severe cases","Clean diet, proper skincare","Scarring, hyperpigmentation","Hydration, balanced diet, proper skincare",3,4
Hair Loss,"Thinning hair, bald patches, receding hairline, excessive hair fall","Blood tests for vitamin deficiencies, hormone tests, scalp examination",Mild to severe,Months to years,"Thyroid disorders, PCOS, anemia, chronic illnesses","Minoxidil, hair growth serums, Ayurvedic hair-strengthening herbs","Hormonal changes, stress, poor nutrition","Pollution, chemical hair treatments",Low to moderate,Low protein and vitamin intake,18-50 years,"Stressful work environments, frequent hair styling","Bhringraj, Amla, Brahmi, Hibiscus","Amla, Bhringraj, Ashwagandha, Fenugreek",Bhringraj oil scalp massage,"Amla-Ginger tea (1 tsp Amla powder, 1 tsp grated ginger, warm water)","Pitta, Vata",Pitta-Vata,"Protein-rich diet, scalp massage","Balayam (nail rubbing), Shirshasana","Hair transplants, PRP therapy","Balanced diet, reduced stress","Baldness, permanent hair loss","Regular oiling, nutritious diet",3,2
Eczema & Psoriasis,"Dry, itchy, red skin, scaly patches, inflammation","Skin biopsy, allergy tests",Mild to severe,Chronic but manageable,"Allergies, autoimmune disorders, skin sensitivities","Steroid creams, antihistamines, Ayurvedic skin-soothing herbs","Genetic predisposition, allergies, immune dysfunction","Dry climate, exposure to allergens",Moderate,"High sugar, dairy, and gluten intake",All ages,"Exposure to chemicals, stress-prone jobs","Aloe Vera, Neem, Manjistha, Coconut oil","Neem, Turmeric, Guduchi, Sariva",Neem-turmeric paste (Neem powder + turmeric + coconut oil),"Chamomile-Turmeric tea (1 tsp chamomile flowers, ½ tsp turmeric, warm water)","Pitta, Vata",Pitta-Vata,"Anti-inflammatory diet, cooling foods","Sheetali pranayama, relaxation techniques","Immunosuppressants, phototherapy","Identifying triggers, avoiding allergens","Skin infections, social discomfort","Moisturization, stress management",5,0
Early Aging & Wrinkle Formation,"Fine lines, wrinkles, sagging skin, dryness, age spots","Skin elasticity tests, hydration tests, antioxidant level assessment",Mild to severe,Long-term skin and lifestyle management,"Premature aging, sun damage, dehydration","Anti-aging creams, retinoids, collagen boosters","Excess sun exposure, poor diet, smoking, dehydration","Pollution, UV radiation, stress",Moderate to low,"High sugar, processed foods, low antioxidants",30+ years,"High stress, outdoor exposure","Aloe Vera, Sandalwood, Rose water, Almond oil","Amla, Ashwagandha, Gotu Kola, Brahmi",Amla juice (30 ml daily) + Almond oil massage,"Amla-Rose tea (1 tsp Amla powder, dried rose petals, warm water)","Vata, Pitta",Vata-Pitta,"Hydrating foods, anti-aging superfoods","Face yoga, Pranayama (Bhramari, Anulom Vilom)","Collagen treatments, anti-aging therapies","Hydration, sun protection, antioxidant-rich diet","Deep wrinkles, skin sagging, hyperpigmentation","Natural skincare, stress management",1,1
Urinary Tract Infections,"Burning sensation during urination, frequent urge to urinate, cloudy urine, pelvic pain","Urinalysis, urine culture, ultrasound (if recurrent)",Mild to severe,"3-7 days (acute), weeks for chronic cases","Previous UTIs, kidney stones, diabetes","Antibiotics, urinary alkalizers, Ayurvedic diuretics","Poor hygiene, dehydration, sexual activity, weakened immunity","Unhygienic restrooms, excessive heat exposure",Low to moderate,"Low water intake, high caffeine or alcohol consumption",All ages,"Frequent travel, poor hygiene practices","Cranberry, Coriander seeds, Gokshura, Barley water","Gokshura, Punarnava, Chandraprabha Vati",Gokshura powder (½ tsp with warm water),"Coriander-Cumin tea (1 tsp coriander seeds, ½ tsp cumin seeds, warm water)","Vata, Pitta",Vata-Pitta,"High-water diet, urinary-friendly foods","Butterfly pose, Moola Bandha",Antibiotics for bacterial infection,"Hydration, proper hygiene, avoiding irritants","Kidney infection, recurrent UTIs","Increased fluid intake, probiotics",1,1
Interstitial Cystitis,"Chronic pelvic pain, frequent urination, bladder pressure, pain during intercourse","Cystoscopy, urine analysis, bladder biopsy",Moderate to severe,Long-term management,"Chronic bladder infections, pelvic pain syndromes","Pain relievers, bladder relaxants, Ayurvedic urinary tonics","Autoimmune conditions, chronic inflammation, stress","Exposure to bladder irritants (caffeine, alcohol)",Moderate,"Acidic, spicy foods worsen symptoms",20-60 years,"Sedentary work, high stress","Gokshura, Shatavari, Aloe Vera juice, Marshmallow root","Gokshura, Chandraprabha Vati, Punarnava, Shatavari",Shatavari powder (½ tsp with milk),"Marshmallow Root & Licorice tea (1 tsp marshmallow root, ½ tsp licorice, warm water)","Pitta, Vata",Pitta-Vata,"Anti-inflammatory diet, bladder-friendly foods","Gentle stretches, deep breathing exercises","Bladder training, physical therapy, nerve stimulation","Avoiding bladder irritants, hydration, stress management","Severe bladder pain, urinary urgency, depression","Dietary changes, hydration, stress relief",4,2
Pelvic Inflammatory Disease,"Pelvic pain, abnormal vaginal discharge, painful urination, fever, pain during intercourse","Pelvic exam, ultrasound, cervical culture, blood tests",Mild to severe,"2-4 weeks (acute), long-term for complications","Prior STIs, frequent vaginal infections, reproductive issues","Antibiotics, pain relievers, herbal antimicrobials","Unprotected sex, multiple partners, untreated STIs","Poor hygiene, exposure to infections",Moderate,"Low immunity-supporting foods, high-processed diet",15-45 years,"Sedentary lifestyle, lack of reproductive health awareness","Turmeric, Neem, Ashoka, Manjistha","Guduchi, Ashoka, Shatavari, Triphala",Neem & Turmeric decoction (½ tsp neem + ½ tsp turmeric with warm water),"Ashoka-Brahmi tea (½ tsp Ashoka powder, ½ tsp Brahmi, warm water)","Pitta, Vata",Pitta-Vata,"Immunity-boosting foods, proper hygiene","Pelvic floor exercises, Butterfly pose","Antibiotic therapy, surgery for abscesses","Safe sex practices, hygiene maintenance","Infertility, ectopic pregnancy, chronic pain","Regular gynecological check-ups, infection prevention",3,4
Pelvic Organ Prolapse,"Vaginal bulge, pelvic pressure, urinary incontinence, difficulty in bowel movements","Pelvic exam, ultrasound, MRI",Mild to severe,Long-term management,"Multiple pregnancies, chronic constipation, hysterectomy","Pelvic floor support devices, Ayurvedic tonics","Vaginal childbirth, aging, obesity, chronic cough","Heavy lifting, lack of pelvic support",Low to moderate,Low fiber intake leading to constipation,40+ years,"Jobs involving heavy lifting, prolonged standing","Shatavari, Ashoka, Gokshura","Lodhra, Ashwagandha, Triphala",Lodhra powder (½ tsp with honey),"Shatavari-Rose tea (½ tsp Shatavari powder, dried rose petals, warm water)","Vata, Pitta",Vata-Pitta,"High-fiber diet, pelvic strengthening exercises","Kegel exercises, Mula Bandha, Utkatasana","Pessary device, surgery in severe cases","Pelvic floor exercises, weight management","Urinary incontinence, recurrent infections","Avoid heavy lifting, strengthen pelvic muscles",1,1
Urinary Incontinence,"Involuntary urine leakage, urgency, frequent urination, nocturia","Urinalysis, bladder stress test, ultrasound",Mild to severe,Long-term management,"Pregnancy, menopause, neurological disorders","Bladder relaxants, Ayurvedic diuretics","Aging, obesity, weak pelvic floor muscles","Prolonged standing, bladder irritants",Low to moderate,"High caffeine, alcohol intake",40+ years,Sedentary or high-strain jobs,"Gokshura, Punarnava, Ashwagandha","Chandraprabha Vati, Gokshura, Shatavari",Chandraprabha Vati (1 tablet daily),"Gokshura-Punarnava tea ( ½ tsp Gokshura, ½ tsp Punarnava, warm water)","Vata, Pitta",Vata-Pitta,"Hydration balance, bladder-friendly diet","Kegel exercises, Butterfly pose","Pelvic therapy, surgery in severe cases","Pelvic exercises, healthy weight management","Frequent UTIs, kidney infections","Bladder training, fluid control",2,1
PCOS (Polycystic Ovary Syndrome),"Irregular periods, weight gain, acne, excessive hair growth, insulin resistance","Ultrasound, blood tests (hormonal levels, insulin, glucose)",Moderate to severe,Long-term management,"Family history of PCOS, obesity, insulin resistance","Birth control pills, metformin, anti-androgens","Genetics, insulin resistance, obesity","Diet, sedentary lifestyle, endocrine disruptors",Low to moderate,High-carb diet worsens insulin resistance,15-45 years,High stress and sedentary work affect condition,"Cinnamon, fenugreek, spearmint tea","Shatavari, Ashwagandha, Triphala",1 tsp fenugreek powder with warm water daily,1 tsp spearmint leaves + 1 cup hot water (steep for 10 mins),Kapha-Pitta imbalance,Prone to Kapha dominance,"Low-GI diet, regular exercise","Surya Namaskar, Kapalbhati, Bhramari Pranayama,Skipping, Butterfly pose","Birth control, insulin sensitizers",Early lifestyle changes,"Infertility, diabetes, heart disease","Regular monitoring, balanced diet, stress reduction",3,4
PCOD (Polycystic Ovary Disease),"Irregular periods, weight gain, acne, excessive hair growth (hirsutism)","Ultrasound, hormone level tests, insulin resistance tests",Mild to severe,Long-term hormonal and lifestyle management,"Irregular menstrual cycles, insulin resistance, obesity","Birth control pills, metformin, Ayurvedic hormonal balancers","Genetics, insulin resistance, obesity","Poor diet, sedentary lifestyle",Low,"High sugar intake, processed foods",15-45 years,"Sedentary jobs, lack of exercise","Shatavari, Ashwagandha, Triphala, Cinnamon","Shatavari, Ashoka, Lodhra, Guggulu", Shatavari powder (½ tsp with milk),"½ tsp Cinnamon, ½ tsp Ginger, steep in warm water for 10 mints","Kapha, Pitta","Kapha, Pitta","Low-glycemic diet, weight management","Surya Namaskar, Baddha Konasana,Skipping, Butterfly pose","Hormonal therapy, weight management programs","Healthy diet, regular exercise"," Infertility, diabetes, heart disease"," Low-carb diet, stress management",5,0
